DATE,CLOSING,WEIGHT,HYBRID_CLOSING,HYBRID_WEIGHT
30/12/16,391.1,247,779.0459677419,1.9919354839
29/12/16,392.45,246,778.5701612903,1.9838709677
28/12/16,388.3,245,767.2056451613,1.9758064516
27/12/16,392.75,244,772.8306451613,1.9677419355
26/12/16,380.45,243,745.5592741935,1.9596774194
23/12/16,390.75,242,762.5927419355,1.9516129032
22/12/16,392.4,241,762.6483870968,1.9435483871
21/12/16,404.9,240,783.6774193548,1.935483871
20/12/16,403.9,239,778.4846774194,1.9274193548
19/12/16,411,238,788.8548387097,1.9193548387
16/12/16,414.1,237,791.4653225806,1.9112903226
15/12/16,419.15,236,797.7370967742,1.9032258065
14/12/16,417.55,235,791.3245967742,1.8951612903
13/12/16,420.65,234,793.8072580645,1.8870967742
12/12/16,424,233,796.7096774194,1.8790322581
09/12/16,430.3,232,805.0774193548,1.8709677419
08/12/16,431.55,231,803.9358870968,1.8629032258
07/12/16,412.5,230,765.1209677419,1.8548387097
06/12/16,418.35,229,772.597983871,1.8467741935
05/12/16,413.55,228,760.3983870968,1.8387096774
02/12/16,406.4,227,743.9741935484,1.8306451613
01/12/16,409.7,226,746.7112903226,1.8225806452
30/11/16,414.95,225,752.9334677419,1.814516129
29/11/16,409.05,224,738.9290322581,1.8064516129
28/11/16,407.1,223,732.1233870968,1.7983870968
25/11/16,407.7,222,729.914516129,1.7903225806
24/11/16,398.25,221,709.7842741935,1.7822580645
23/11/16,392.35,220,696.1048387097,1.7741935484
22/11/16,378,219,667.5967741935,1.7661290323
21/11/16,371.55,218,653.2088709677,1.7580645161
18/11/16,385.1,217,673.925,1.75
17/11/16,392.95,216,684.4935483871,1.7419354839
16/11/16,391.75,215,679.2439516129,1.7338709677
15/11/16,393.55,214,679.1911290323,1.7258064516
11/11/16,426.85,213,733.2181451613,1.7177419355
10/11/16,436.85,212,746.8725806452,1.7096774194
09/11/16,399.8,211,680.3048387097,1.7016129032
08/11/16,408.6,210,691.9838709677,1.6935483871
07/11/16,411.5,209,693.5766129032,1.685483871
04/11/16,403.05,208,676.0838709677,1.6774193548
03/11/16,403.3,207,673.2508064516,1.6693548387
02/11/16,413.65,206,687.1927419355,1.6612903226
01/11/16,417.7,205,690.5524193548,1.6532258065
30/10/16,404.65,204,665.714516129,1.6451612903
28/10/16,404.45,203,662.1237903226,1.6370967742
27/10/16,397.1,202,646.8887096774,1.6290322581
26/10/16,398.85,201,646.522983871,1.6209677419
25/10/16,415.5,200,670.1612903226,1.6129032258
24/10/16,426.2,199,683.9822580645,1.6048387097
21/10/16,427.3,198,682.3016129032,1.5967741935
20/10/16,428.45,197,680.6826612903,1.5887096774
19/10/16,425.45,196,672.485483871,1.5806451613
18/10/16,424.9,195,668.189516129,1.5725806452
17/10/16,410.7,194,642.5467741935,1.564516129
14/10/16,411.9,193,641.1024193548,1.5564516129
13/10/16,413.85,192,640.8,1.5483870968
10/10/16,417.4,191,642.9306451613,1.5403225806
07/10/16,406.4,190,622.7096774194,1.5322580645
06/10/16,389.3,189,593.3685483871,1.5241935484
05/10/16,390.35,188,591.8209677419,1.5161290323
04/10/16,390.1,187,588.2959677419,1.5080645161
03/10/16,382.85,186,574.275,1.5
30/09/16,374.4,185,558.5806451613,1.4919354839
29/09/16,367.85,184,545.8419354839,1.4838709677
28/09/16,379.8,183,560.5112903226,1.4758064516
27/09/16,367.85,182,539.9088709677,1.4677419355
26/09/16,370.4,181,540.664516129,1.4596774194
23/09/16,371.9,180,539.8548387097,1.4516129032
22/09/16,376.3,179,543.2072580645,1.4435483871
21/09/16,369.3,178,530.1241935484,1.435483871
20/09/16,365.45,177,521.6504032258,1.4274193548
19/09/16,361.55,176,513.1677419355,1.4193548387
16/09/16,359.05,175,506.7237903226,1.4112903226
15/09/16,366.9,174,514.8435483871,1.4032258065
14/09/16,373.75,173,521.4415322581,1.3951612903
12/09/16,373.6,172,518.2193548387,1.3870967742
09/09/16,394.5,171,544.0282258065,1.3790322581
08/09/16,402.9,170,552.3629032258,1.3709677419
07/09/16,389.95,169,531.4641129032,1.3629032258
06/09/16,385.85,168,522.764516129,1.3548387097
02/09/16,373.7,167,503.289516129,1.3467741935
01/09/16,373.8,166,500.4096774194,1.3387096774
31/08/16,370.45,165,492.9375,1.3306451613
30/08/16,377.8,164,499.6709677419,1.3225806452
29/08/16,373.1,163,490.4459677419,1.314516129
26/08/16,369.85,162,483.1911290323,1.3064516129
25/08/16,372.4,161,483.5193548387,1.2983870968
24/08/16,380.15,160,490.5161290323,1.2903225806
23/08/16,385.45,159,494.2463709677,1.2822580645
22/08/16,387.45,158,493.6862903226,1.2741935484
19/08/16,392.3,157,496.7024193548,1.2661290323
18/08/16,387.2,156,487.1225806452,1.2580645161
17/08/16,391.35,155,489.1875,1.25
16/08/16,379.2,154,470.9419354839,1.2419354839
12/08/16,374.8,153,462.4548387097,1.2338709677
11/08/16,368.5,152,451.7096774194,1.2258064516
10/08/16,370.15,151,450.7471774194,1.2177419355
09/08/16,375.45,150,454.1733870968,1.2096774194
08/08/16,379.55,149,456.0721774194,1.2016129032
05/08/16,380.9,148,454.6225806452,1.1935483871
04/08/16,374.05,147,443.4302419355,1.185483871
03/08/16,357.6,146,421.0451612903,1.1774193548
02/08/16,361.9,145,423.189516129,1.1693548387
01/08/16,364.35,144,423.1161290323,1.1612903226
29/07/16,354.75,143,409.1068548387,1.1532258065
28/07/16,350.3,142,401.15,1.1451612903
27/07/16,362.9,141,412.6524193548,1.1370967742
26/07/16,367.65,140,415.0887096774,1.1290322581
25/07/16,363.8,139,407.8080645161,1.1209677419
22/07/16,365.3,138,406.5435483871,1.1129032258
21/07/16,362.3,137,400.2830645161,1.1048387097
20/07/16,368.45,136,404.1064516129,1.0967741935
19/07/16,370.25,135,403.0947580645,1.0887096774
18/07/16,365.6,134,395.0838709677,1.0806451613
15/07/16,372.85,133,399.9116935484,1.0725806452
14/07/16,359.2,132,382.3741935484,1.064516129
13/07/16,357.7,131,377.8927419355,1.0564516129
12/07/16,342.4,130,358.9677419355,1.0483870968
11/07/16,327.25,129,340.4455645161,1.0403225806
08/07/16,318.6,128,328.8774193548,1.0322580645
07/07/16,317.65,127,325.3350806452,1.0241935484
05/07/16,334.1,126,339.4887096774,1.0161290323
04/07/16,331.2,125,333.8709677419,1.0080645161
01/07/16,327.35,124,327.35,1
30/06/16,321.9,123,319.3040322581,0.9919354839
29/06/16,313.45,122,308.3943548387,0.9838709677
28/06/16,311.45,121,303.9149193548,0.9758064516
27/06/16,310.35,120,300.3387096774,0.9677419355
24/06/16,312.5,119,299.8991935484,0.9596774194
23/06/16,333.75,118,317.6008064516,0.9516129032
22/06/16,332,117,313.2580645161,0.9435483871
21/06/16,333.85,116,312.3112903226,0.935483871
20/06/16,336.15,115,311.752016129,0.9274193548
17/06/16,325.5,114,299.25,0.9193548387
16/06/16,330.05,113,300.7713709677,0.9112903226
15/06/16,329.9,112,297.9741935484,0.9032258065
14/06/16,325,111,290.9274193548,0.8951612903
13/06/16,323.8,110,287.2419354839,0.8870967742
10/06/16,334.95,109,294.4318548387,0.8790322581
09/06/16,342.05,108,297.914516129,0.8709677419
08/06/16,341.5,107,294.6814516129,0.8629032258
07/06/16,342.85,106,293.0814516129,0.8548387097
06/06/16,337.7,105,285.9556451613,0.8467741935
03/06/16,338.65,104,284.0290322581,0.8387096774
02/06/16,340.65,103,282.9592741935,0.8306451613
01/06/16,332.15,102,273.2201612903,0.8225806452
31/05/16,334.45,101,272.4149193548,0.814516129
30/05/16,323.1,100,260.564516129,0.8064516129
27/05/16,329,99,262.6693548387,0.7983870968
26/05/16,325,98,256.8548387097,0.7903225806
25/05/16,324.35,97,253.7254032258,0.7822580645
24/05/16,317.6,96,245.8838709677,0.7741935484
23/05/16,313.6,95,240.2580645161,0.7661290323
20/05/16,322.9,94,244.7790322581,0.7580645161
19/05/16,326.1,93,244.575,0.75
18/05/16,328.9,92,244.0225806452,0.7419354839
17/05/16,326.95,91,239.9391129032,0.7338709677
16/05/16,326.35,90,236.8669354839,0.7258064516
13/05/16,323,89,231.8306451613,0.7177419355
12/05/16,330.8,88,234.7612903226,0.7096774194
11/05/16,329,87,230.8306451613,0.7016129032
10/05/16,327.95,86,227.4491935484,0.6935483871
09/05/16,329.05,85,225.5584677419,0.685483871
06/05/16,329.45,84,223.1758064516,0.6774193548
05/05/16,332,83,222.2258064516,0.6693548387
04/05/16,328.95,82,217.5314516129,0.6612903226
03/05/16,348.45,81,227.6165322581,0.6532258065
02/05/16,346.8,80,223.7419354839,0.6451612903
29/04/16,350.55,79,223.3342741935,0.6370967742
28/04/16,347.7,78,218.714516129,0.6290322581
27/04/16,356.6,77,221.4370967742,0.6209677419
26/04/16,358.4,76,219.664516129,0.6129032258
